"source" "target" "weight" "type"
access custom 0.1384 undirected
access properti 0.0050 undirected
access mobil 0.1265 undirected
access owner 0.0030 undirected
access tablet 0.0816 undirected
access laptop 0.2441 undirected
access color 0.0371 undirected
access memori 0.0135 undirected
access purchas 0.6630 undirected
access attach 0.1672 undirected
access ebai 0.0046 undirected
access web 0.1536 undirected
access facil 0.0110 undirected
access employe 0.0596 undirected
access code 0.0013 undirected
access photo 0.0789 undirected
access qualifi 0.0049 undirected
access vendor 0.1184 undirected
access transact 0.0286 undirected
access phone 0.0298 undirected
access login 0.3980 undirected
access health 0.0797 undirected
access compromis 0.1605 undirected
access express 0.0364 undirected
access amazon 0.1258 undirected
access femal 0.0180 undirected
access media 0.0240 undirected
access medic 0.1038 undirected
access group 0.0482 undirected
access histori 0.0018 undirected
access design 0.0530 undirected
access level 0.0500 undirected
access site 0.7017 undirected
access user 0.2118 undirected
access speed 0.0120 undirected
access account 0.1835 undirected
access devic 0.1132 undirected
access ship 0.0014 undirected
access shop 0.0025 undirected
access medicar 0.0302 undirected
access rank 0.0051 undirected
access websit 0.2601 undirected
access email 0.0764 undirected
access network 0.0073 undirected
access uniqu 0.3248 undirected
access twitter 0.2847 undirected
access comput 0.0767 undirected
access student 0.0304 undirected
access password 0.2821 undirected
account devic 0.0421 undirected
account shop 0.0068 undirected
account medicar 0.0399 undirected
account rank 0.0742 undirected
account rate 0.0076 undirected
account websit 0.4060 undirected
account email 0.1966 undirected
account refund 0.2041 undirected
account uniqu 0.3478 undirected
account institut 0.2370 undirected
account equifax 0.0786 undirected
account bank 0.3466 undirected
account insur 0.1268 undirected
account twitter 0.4411 undirected
account bureau 0.0191 undirected
account sourc 0.1773 undirected
account person 0.1247 undirected
account comput 0.0451 undirected
account militari 0.0015 undirected
account ident 0.0223 undirected
account credit 0.0522 undirected
account employ 0.1443 undirected
account password 0.4361 undirected
address postal 0.0264 undirected
address employe 0.1207 undirected
address prescript 0.1461 undirected
address telephon 0.0678 undirected
address balanc 0.0320 undirected
address establish 0.3001 undirected
address profil 0.0570 undirected
address public 0.0810 undirected
address bill 0.0134 undirected
address photo 0.0860 undirected
address assist 0.1823 undirected
address publish 0.0036 undirected
address transact 0.3498 undirected
address ipad 0.0134 undirected
address street 0.1213 undirected
address ticket 0.1669 undirected
address degre 0.0057 undirected
address flag 0.2050 undirected
address vehicl 0.1578 undirected
address connect 0.0563 undirected
address identifi 0.1887 undirected
address express 0.0172 undirected
address femal 0.0449 undirected
address digit 0.0217 undirected
address design 0.0531 undirected
address colleg 0.1193 undirected
address ssn 0.2435 undirected
address tax 0.1080 undirected
address sign 0.1462 undirected
address name 0.0503 undirected
address busi 0.0298 undirected
address children 0.0133 undirected
address secur 0.0121 undirected
address account 0.0724 undirected
address ship 0.1366 undirected
address shop 0.0173 undirected
address occup 0.0178 undirected
address email 0.1107 undirected
address photograph 0.0008 undirected
address refund 0.5975 undirected
address institut 0.6225 undirected
address bank 0.0047 undirected
address person 0.0484 undirected
administr uniqu 0.0631 undirected
administr mortgag 0.1577 undirected
administr comput 0.0639 undirected
administr militari 0.0167 undirected
administr ident 0.0481 undirected
adult statu 0.4489 undirected
adult number 0.2053 undirected
adult doctor 0.2024 undirected
adult onlin 0.0689 undirected
adult profil 0.0240 undirected
adult bill 0.1623 undirected
adult photo 0.0126 undirected
adult attornei 0.0110 undirected
adult flag 0.0143 undirected
adult vehicl 0.0090 undirected
adult express 0.0160 undirected
adult femal 0.0280 undirected
adult birth 0.0038 undirected
adult media 0.2168 undirected
adult digit 0.1980 undirected
adult certif 0.0060 undirected
adult score 0.0932 undirected
adult agenc 0.0503 undirected
adult level 0.0168 undirected
adult mother 0.1090 undirected
adult sign 0.1606 undirected
adult name 0.0741 undirected
adult depend 0.2962 undirected
adult pai 0.0166 undirected
adult proof 0.0476 undirected
adult site 0.0532 undirected
adult children 0.3434 undirected
adult secur 0.1233 undirected
adult social 0.2511 undirected
adult parent 0.4764 undirected
adult sale 0.0313 undirected
adult administr 0.0015 undirected
adult equifax 0.2356 undirected
adult insur 0.0174 undirected
adult bureau 0.4078 undirected
adult sourc 0.1531 undirected
adult person 0.0096 undirected
adult internet 0.0010 undirected
adult credit 0.1291 undirected
ag school 0.5318 undirected
ag transunion 0.0884 undirected
ag adult 0.6279 undirected
ag middl 0.0606 undirected
ag statu 0.2391 undirected
ag number 0.0422 undirected
ag doctor 0.1099 undirected
ag onlin 0.3395 undirected
ag prescript 0.0081 undirected
ag telephon 0.0305 undirected
ag public 0.0215 undirected
ag bill 0.0081 undirected
ag photo 0.0533 undirected
ag qualifi 0.0400 undirected
ag phone 0.0665 undirected
ag flag 0.2320 undirected
ag login 0.0103 undirected
ag countri 0.0096 undirected
ag measur 0.0329 undirected
ag health 0.0013 undirected
ag compromis 0.0061 undirected
ag express 0.1565 undirected
ag femal 0.0033 undirected
ag media 0.6218 undirected
ag digit 0.5623 undirected
ag histori 0.0701 undirected
ag set 0.0444 undirected
ag certif 0.0917 undirected
ag score 0.0118 undirected
ag design 0.0473 undirected
ag level 0.2241 undirected
ag mother 0.1836 undirected
ag depend 0.2698 undirected
ag site 0.2030 undirected
ag corpor 0.1019 undirected
ag children 0.7465 undirected
ag locat 0.0526 undirected
ag medicar 0.1255 undirected
ag rank 0.0410 undirected
ag social 0.1906 undirected
ag util 0.0204 undirected
ag samsung 0.0372 undirected
ag parent 0.8808 undirected
ag sale 0.0062 undirected
ag registr 0.0204 undirected
ag network 0.3058 undirected
ag servic 0.2061 undirected
ag android 0.0216 undirected
ag equifax 0.0884 undirected
ag insur 0.1789 undirected
ag bureau 0.2196 undirected
ag militari 0.0988 undirected
ag internet 0.1524 undirected
ag credit 0.0293 undirected
ag student 0.0493 undirected
agenc ssn 0.0297 undirected
agenc sign 0.1142 undirected
agenc name 0.0154 undirected
agenc depend 0.0365 undirected
agenc account 0.0123 undirected
agenc rank 0.0003 undirected
agenc util 0.2170 undirected
agenc rate 0.0105 undirected
agenc samsung 0.0044 undirected
agenc refund 0.0091 undirected
agenc network 0.0412 undirected
agenc servic 0.2310 undirected
agenc equifax 0.3916 undirected
agenc insur 0.0086 undirected
agenc bureau 0.1743 undirected
agenc sourc 0.3570 undirected
agenc militari 0.0040 undirected
agenc ident 0.0815 undirected
agenc credit 0.4610 undirected
agenc employ 0.4790 undirected
amazon system 0.0129 undirected
amazon media 0.0500 undirected
amazon group 0.6517 undirected
amazon histori 0.2838 undirected
amazon set 0.0282 undirected
amazon design 0.1101 undirected
amazon proof 0.2978 undirected
amazon user 0.4291 undirected
amazon store 0.1658 undirected
amazon account 0.3282 undirected
amazon locat 0.0142 undirected
amazon shop 0.4531 undirected
amazon medicar 0.0019 undirected
amazon rank 0.1159 undirected
amazon websit 0.5426 undirected
amazon email 0.4250 undirected
amazon samsung 0.0169 undirected
amazon photograph 0.0209 undirected
amazon registr 0.0475 undirected
amazon uniqu 0.4772 undirected
amazon android 0.0609 undirected
amazon bank 0.4072 undirected
amazon twitter 0.6326 undirected
amazon person 0.0206 undirected
amazon comput 0.0473 undirected
amazon internet 0.1022 undirected
amazon password 0.6538 undirected
american control 0.0850 undirected
american tablet 0.0406 undirected
american travel 0.5869 undirected
american ey 0.1677 undirected
american color 0.4014 undirected
american ag 0.1247 undirected
american board 0.0588 undirected
american school 0.0877 undirected
american ebai 0.4481 undirected
american term 0.0986 undirected
american adult 0.1134 undirected
american web 0.0544 undirected
american onlin 0.1375 undirected
american prescript 0.0626 undirected
american photo 0.0506 undirected
american countri 0.1730 undirected
american health 0.0067 undirected
american express 0.0732 undirected
american system 0.1928 undirected
american visa 0.1855 undirected
american femal 0.2075 undirected
american media 0.1495 undirected
american digit 0.0784 undirected
american passport 0.0337 undirected
american level 0.0252 undirected
american mother 0.0137 undirected
american seri 0.0132 undirected
american sign 0.0555 undirected
american proof 0.2935 undirected
american site 0.0300 undirected
american children 0.1308 undirected
american speed 0.0097 undirected
american locat 0.0590 undirected
american parent 0.1061 undirected
american administr 0.0255 undirected
american uniqu 0.0275 undirected
american mortgag 0.3703 undirected
american bureau 0.0697 undirected
american student 0.0308 undirected
android twitter 0.0073 undirected
android person 0.1855 undirected
android comput 0.3013 undirected
android internet 0.3279 undirected
android password 0.0137 undirected
appl transunion 0.2143 undirected
appl displai 0.0698 undirected
appl number 0.0347 undirected
appl web 0.0636 undirected
appl code 0.1106 undirected
appl bill 0.1210 undirected
appl qualifi 0.0708 undirected
appl publish 0.0500 undirected
appl linkedin 0.0038 undirected
appl ipad 0.9541 undirected
appl flag 0.1826 undirected
appl identifi 0.0000 undirected
appl express 0.4159 undirected
appl system 0.0062 undirected
appl digit 0.1648 undirected
appl histori 0.0442 undirected
appl set 0.0247 undirected
appl applic 0.1389 undirected
appl design 0.8112 undirected
appl name 0.0232 undirected
appl corpor 0.0032 undirected
appl user 0.1026 undirected
appl store 0.3084 undirected
appl secur 0.0227 undirected
appl devic 0.0012 undirected
appl ship 0.1882 undirected
appl rank 0.0201 undirected
appl social 0.0197 undirected
appl samsung 0.1370 undirected
appl sale 0.0447 undirected
appl administr 0.1085 undirected
appl android 0.1287 undirected
appl equifax 0.2143 undirected
appl person 0.0009 undirected
appl comput 0.8489 undirected
appl internet 0.1456 undirected
appl credit 0.1020 undirected
applic design 0.1045 undirected
applic name 0.3081 undirected
applic store 0.0357 undirected
applic secur 0.0600 undirected
applic ship 0.0572 undirected
applic shop 0.0090 undirected
applic social 0.0513 undirected
applic rate 0.0011 undirected
applic administr 0.0252 undirected
applic android 0.0025 undirected
applic equifax 0.0140 undirected
applic bank 0.3019 undirected
applic comput 0.3379 undirected
applic ident 0.0154 undirected
applic credit 0.0452 undirected
assign attornei 0.1158 undirected
assign degre 0.0099 undirected
assign flag 0.0905 undirected
assign countri 0.0611 undirected
assign identifi 0.2700 undirected
assign femal 0.0574 undirected
assign birth 0.0059 undirected
assign certif 0.0993 undirected
assign agenc 0.0555 undirected
assign level 0.0502 undirected
assign mother 0.0889 undirected
assign seri 0.0767 undirected
assign ssn 0.0904 undirected
assign tax 0.1351 undirected
assign sign 0.1145 undirected
assign pai 0.0432 undirected
assign proof 0.0591 undirected
assign speed 0.3584 undirected
assign ship 0.2945 undirected
assign shop 0.0067 undirected
assign medicar 0.1309 undirected
assign rank 0.0317 undirected
assign websit 0.0037 undirected
assign email 0.0061 undirected
assign refund 0.1631 undirected
assign administr 0.0096 undirected
assign registr 0.0218 undirected
assign militari 0.0464 undirected
assign ident 0.1265 undirected
assist degre 0.0023 undirected
assist connect 0.0196 undirected
assist design 0.2255 undirected
