"source","target","weight","type","rank1","rank2","rank3","rank4","rank5"
"access","custom","0.8616","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Program on identity theft set for Tuesday - Times Herald-Record","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Man finds identity theft device on access door to Union City bank - KTVU San Francisco"
"access","properti","0.9950","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Police Blotter: DWI, Identity Theft, Property Damage and More - Patch.com"
"access","mobil","0.8735","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","owner","0.9970","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Kniss says she was victim of identity theft - Palo Alto Online"
"access","tablet","0.9184","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access","laptop","0.7559","undirected","Identity theft is taxing problem - Post-Bulletin","Program on identity theft set for Tuesday - Times Herald-Record","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access","color","0.9629","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","memori","0.9865","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Michael Gregg:  Be Careful When Discarding Old Smartphones and Electronics"
"access","purchas","0.3370","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jeanne Kelly:  'Spring Forward' to Protect Your Identity"
"access","attach","0.8328","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Program on identity theft set for Tuesday - Times Herald-Record","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Man finds identity theft device on access door to Union City bank - KTVU San Francisco"
"access","ebai","0.9954","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","web","0.8464","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","facil","0.9890","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access","employe","0.9404","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Michael Gregg:  Why Your Medical Records Are No Longer Safe"
"access","code","0.9987","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Miami Man Charged in $12 Million Identity Theft Tax Refund Fraud Scheme ... - Federal Bureau of Investigation (press release)"
"access","photo","0.9211","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Program on identity theft set for Tuesday - Times Herald-Record","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Ashwaubenon Marine recruiter arrested for identity theft, child pornography - WTAQ"
"access","qualifi","0.9951","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access","vendor","0.8816","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Michael Gregg:  Why Your Medical Records Are No Longer Safe"
"access","transact","0.9714","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Sturgis residents victims of identity theft - Rapid City Journal"
"access","phone","0.9702","undirected","Adam Levin:  The 10 Dumbest Risks You Can Take With a Smartphone","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig"
"access","login","0.6020","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record"
"access","health","0.9203","undirected","Michael Gregg:  Why Your Medical Records Are No Longer Safe","Federal stats: Identity theft of medical records on rise - Newsday (subscription)","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig"
"access","compromis","0.8395","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","express","0.9636","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","amazon","0.8742","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","femal","0.9820","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access","media","0.9760","undirected","Ann Brenoff:  How I Spy On My Kids Online","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Robert Siciliano:  The Social Media Identity Theft of a School Director Via Twitter"
"access","medic","0.8962","undirected","Michael Gregg:  Why Your Medical Records Are No Longer Safe","Federal stats: Identity theft of medical records on rise - Newsday (subscription)","Representative's wife's files identity theft report - WCYB","Hospital Identity Theft Found at Some South Florida Hospitals - NBC 6 South Florida","Social Security Number Identity Theft; Two-Car Crash on Crawford - Patch.com"
"access","group","0.9518","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
