"source","target","weight","type","rank1","rank2","rank3","rank4","rank5"
"access", "customers", 0.8616, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Program on identity theft set for Tuesday - Times Herald-Record", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Man finds identity theft device on access door to Union City bank - KTVU San Francisco"
"access", "property", 0.9950, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Police Blotter: DWI, Identity Theft, Property Damage and More - Patch.com"
"access", "mobile", 0.8735, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access", "owner", 0.9970, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Kniss says she was victim of identity theft - Palo Alto Online"
"access", "tablet", 0.9184, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access", "laptop", 0.7559, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Program on identity theft set for Tuesday - Times Herald-Record", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access", "color", 0.9629, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access", "memory", 0.9865, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Michael Gregg:  Be Careful When Discarding Old Smartphones and Electronics"
"access", "purchasing", 0.3370, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Jeanne Kelly:  'Spring Forward' to Protect Your Identity"
"access", "attached", 0.8328, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Program on identity theft set for Tuesday - Times Herald-Record", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Man finds identity theft device on access door to Union City bank - KTVU San Francisco"
"access", "ebay", 0.9954, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access", "web", 0.8464, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access", "facility", 0.9890, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Federal stats: Identity theft of medical records on rise - Newsday (subscription)"
"access", "employee", 0.9404, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Michael Gregg:  Why Your Medical Records Are No Longer Safe"
"access", "code", 0.9987, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Program on identity theft set for Tuesday - Times Herald-Record", "Miami Man Charged in $12 Million Identity Theft Tax Refund Fraud Scheme ... - Federal Bureau of Investigation (press release)"
"access", "photo", 0.9211, "undirected", "Identity theft is taxing problem - Post-Bulletin", "Three arrested for identity theft profiling - Lodi News-Sentinel", "Program on identity theft set for Tuesday - Times Herald-Record", "Elkton woman charged with identity theft, police seek other victims - Cecil Whig", "Ashwaubenon Marine recruiter arrested for identity theft, child pornography - WTAQ"
