"source" "target" "weight" "type"
"access" "customers" 0.1384 "undirected"
"access" "property" 0.0050 "undirected"
"access" "mobile" 0.1265 "undirected"
"access" "owner" 0.0030 "undirected"
"access" "tablet" 0.0816 "undirected"
"access" "laptop" 0.2441 "undirected"
"access" "color" 0.0371 "undirected"
"access" "memory" 0.0135 "undirected"
"access" "purchasing" 0.6630 "undirected"
"access" "attached" 0.1672 "undirected"
"access" "ebay" 0.0046 "undirected"
"access" "web" 0.1536 "undirected"
"access" "facility" 0.0110 "undirected"
"access" "employee" 0.0596 "undirected"
"access" "code" 0.0013 "undirected"
"access" "photo" 0.0789 "undirected"
"access" "qualifier" 0.0049 "undirected"
"access" "vendor" 0.1184 "undirected"
"access" "transactions" 0.0286 "undirected"
"access" "phone" 0.0298 "undirected"
"access" "login" 0.3980 "undirected"
"access" "health" 0.0797 "undirected"
"access" "compromised" 0.1605 "undirected"
"access" "express" 0.0364 "undirected"
"access" "amazon" 0.1258 "undirected"
"access" "female" 0.0180 "undirected"
"access" "media" 0.0240 "undirected"
"access" "medical" 0.1038 "undirected"
"access" "group" 0.0482 "undirected"
"access" "history" 0.0018 "undirected"
"access" "design" 0.0530 "undirected"
"access" "level" 0.0500 "undirected"
"access" "site" 0.7017 "undirected"
"access" "user" 0.2118 "undirected"
"access" "speed" 0.0120 "undirected"
"access" "accounts" 0.1835 "undirected"
"access" "device" 0.1132 "undirected"
"access" "ship" 0.0014 "undirected"
"access" "shopping" 0.0025 "undirected"
"access" "medicare" 0.0302 "undirected"
"access" "rank" 0.0051 "undirected"
"access" "website" 0.2601 "undirected"
"access" "email" 0.0764 "undirected"
"access" "network" 0.0073 "undirected"
"access" "unique" 0.3248 "undirected"
"access" "twitter" 0.2847 "undirected"
"access" "computers" 0.0767 "undirected"
"access" "student" 0.0304 "undirected"
"access" "passwords" 0.2821 "undirected"
"accounts" "device" 0.0421 "undirected"
"accounts" "shopping" 0.0068 "undirected"
"accounts" "medicare" 0.0399 "undirected"
"accounts" "rank" 0.0742 "undirected"
"accounts" "rating" 0.0076 "undirected"
"accounts" "website" 0.4060 "undirected"
"accounts" "email" 0.1966 "undirected"
"accounts" "refund" 0.2041 "undirected"
"accounts" "unique" 0.3478 "undirected"
"accounts" "institution" 0.2370 "undirected"
"accounts" "equifax" 0.0786 "undirected"
