source,target,weight,type
accounts account,loan,0.1655,undirected
accounts account,employer,0.4869,undirected
accounts account,passwords password,0.1247,undirected
accounts account,transunion,0.2061,undirected
accounts account,ebay,0.0793,undirected
address addresses,group,0.0932,undirected
address addresses,number,0.1294,undirected
address addresses,refund,0.3086,undirected
address addresses,facility,0.2516,undirected
address addresses,application,0.0349,undirected
address addresses,network,0.0118,undirected
address addresses,ssn,0.1988,undirected
address addresses,android,0.041,undirected
address addresses,institution,0.268,undirected
address addresses,banking bank,0.0728,undirected
address addresses,name,0.4886,undirected
address addresses,photo,0.1912,undirected
address addresses,type,0.0548,undirected
address addresses,twitter,0.0171,undirected
address addresses,source,0.0763,undirected
address addresses,transactions,0.1362,undirected
address addresses,phone,0.255,undirected
address addresses,ipad,0.0829,undirected
address addresses,identity,0.1529,undirected
address addresses,purchasing purchase,0.1893,undirected
address addresses,accounts account,0.0685,undirected
address addresses,credit,0.0085,undirected
address addresses,device devices,0.0883,undirected
address addresses,employer,0.0948,undirected
address addresses,schools,0.0933,undirected
address addresses,passwords password,0.1379,undirected
address addresses,ebay,0.1505,undirected
administrator,android,0.016,undirected
administrator,tax,0.0785,undirected
administrator,equifax,0.0106,undirected
administrator,name,0.0129,undirected
administrator,photo,0.0228,undirected
administrator,assistance,0.0303,undirected
administrator,bureau,0.1088,undirected
administrator,american,0.0407,undirected
administrator,business,0.0026,undirected
administrator,laptop,0.002,undirected
administrator,computers,0.101,undirected
administrator,store,0.0606,undirected
administrator,eye,0.0227,undirected
administrator,ipad,0.1623,undirected
administrator,identity,0.0016,undirected
administrator,attorney,0.0259,undirected
administrator,device devices,0.0082,undirected
administrator,schools,0.0329,undirected
administrator,apple,0.1714,undirected
administrator,transunion,0.0106,undirected
administrator,term,0.1288,undirected
adult,media,0.0926,undirected
adult,group,0.1549,undirected
adult,parents,0.2229,undirected
adult,number,0.0343,undirected
adult,online,0.1125,undirected
adult,sales,0.0173,undirected
adult,agency,0.0086,undirected
adult,facebook,0.2916,undirected
adult,college,0.0621,undirected
adult,federal,0.0635,undirected
adult,customers customer,0.0939,undirected
adult,equifax,0.3868,undirected
adult,banking bank,0.1531,undirected
adult,type,0.0129,undirected
adult,bureau,0.1744,undirected
adult,source,0.1048,undirected
adult,site,0.0928,undirected
adult,business,0.2059,undirected
adult,children,0.3094,undirected
adult,identity,0.0756,undirected
adult,secure security,0.0339,undirected
adult,credit,0.0763,undirected
adult,id,0.0069,undirected
adult,locator location,0.2226,undirected
adult,device devices,0.0132,undirected
adult,date,0.091,undirected
adult,employer,0.0481,undirected
adult,schools,0.0558,undirected
adult,transunion,0.3868,undirected
adult,secret,0.0035,undirected
agency,application,0.0321,undirected
agency,employee employees,0.0695,undirected
agency,network,0.2589,undirected
agency,service,0.528,undirected
agency,federal,0.0935,undirected
agency,customers customer,0.0544,undirected
agency,equifax,0.375,undirected
agency,type,0.0191,undirected
agency,bureau,0.0725,undirected
agency,site,0.0576,undirected
agency,linkedin,0.0218,undirected
agency,children,0.0341,undirected
agency,accounts account,0.0402,undirected
agency,credit,0.6181,undirected
agency,id,0.0947,undirected
agency,loan,0.0786,undirected
agency,employer,0.3866,undirected
agency,schools,0.0075,undirected
agency,transunion,0.375,undirected
amazon,system,0.0113,undirected
amazon,website,0.2587,undirected
amazon,email,0.0396,undirected
amazon,adult,0.2204,undirected
amazon,media,0.3039,undirected
amazon,address addresses,0.1342,undirected
amazon,group,0.177,undirected
amazon,number,0.1265,undirected
amazon,settings,0.1004,undirected
amazon,application,0.0687,undirected
amazon,facebook,0.3545,undirected
amazon,android,0.0736,undirected
amazon,banking bank,0.2061,undirected
amazon,google,0.2149,undirected
amazon,twitter,0.4608,undirected
amazon,source,0.1263,undirected
