"Identity theft: the fastest growing crime in America - Palm Beach Daily News","recarei","credit","rfid","palm","beach","card","crime","order","passport","person","reader","fastest","step","outstand","report","steal","purs","perpetr","world","ipad","my","hear","countri","daili","creditor"
"VyStar Credit Union Expands Partnership with IDentity Theft 911 to Offer ... - PR Web (press release)","vystar","union","socialscout","member","911","servic","fraudscout","reput","parent","manag","provid","award","offer","famili","ceo","network","help","serv","membership","aspect","resolut","credit","poll","ident","monitor"
"Jeanne Kelly:  Beware of This Common Creditor Error","creditor","name","credit","report","error","compani","statement","familiar","payment","necessarili","scenario","bought","common","origin","pull","purchas","reason","corpor","mean","exampl","debt","doesnt","dont","try","1995"
"CPD notes increase in ID theft - Your Houston News","spike","spywar","file","ir","mail","secur","leav","privaci","contain","locat","1099","antiviru","ordeal","id","commun","vigil","prefer","stuff","repli","firewal","complain","newspap","expir","369132","definit"
"Ex-student admits guilt in ID theft case - U-T San Diego","weaver","student","council","admit","elect","campu","san","diego","judg","feder","matthew","alan","keylogg","vote","33","huntington","secretli","uncov","devic","fraud","court","custodi","plea","william","22"
"Three arrested for identity theft profiling - Lodi News-Sentinel","remain","articl","lodinewscom","free","view","subscript","afford","enjoi","entitl","30","regist","purchas","site","current","dai","access","remaining_reg","remaining_sub","subscrib","visit","period","pleas","valuabl","login","addit"
"Federal stats show identity theft on rise in Idaho - San Francisco Chronicle","idaho","grime","neali","jurisdict","fall","ident","difficult","seen","nationwid","file","theft","cooper","thief","nearli","percent","medicar","manner","dumpster","solv","fast","370000","recycl","dream","reject","sgt"
"Rudy Giuliani Now An Identity Theft Protection Pitchman - Gothamist","rudi","lifelock","mayor","help","trip","proactiv","hasnt","leader","campaign","partner","town","threat","19","wait","911","press","industri","ad","protect","loss","educ","total","sell","mobil","cant"
"IRS identity theft crackdown leads to 109 arrests - USA TODAY","mccoi","ir","miller","kevin","refund","effort","action","addition","plu","109","build","san","filter","focu","crackdown","assign","late","enforc","doubl","indict","begin","2011","agenc","author","messag"
"Police Log: Reports of Identity Theft, Assault and Battery - Patch.com","falmouth","hwy","respond","polic","pm","incid","disturb","batteri","report","topic","arriv","dead","convict","west","janedoeaolcom","validates_email_format_ofmessageent","east","email","valid","eg","27","2013","indic","st","26"
"Robert Siciliano:  BillGuard: Grey Charges Equal Legal Fraud","charg","month","statement","1995","decept","fine","merchant","print","attent","click","25","purchas","membership","discount","disclosur","user","pai","club","forget","350","siciliano","99","below","dead","sound"
"Police Blotter: Identity Theft, No Insurance - Patch.com","insur","59","newslett","transport","lee","rout","arrest","19","patch","lane","email","north","janedoeaolcom","validates_email_format_ofmessageent","valid","near","eg","vehicl","bond","26","washington","charg","jail","oper","21"
